position,longsnapper,height,weight,draftage,bench,forty,fortyelectric,verticaljump,broadjump,threecone,shuttle,drafted
DL,0,73.5,278,23.65753425,22,5.37,5.42,33,103,7.6,4.88,1
LB,0,73.5,269,0,6,5.52,5.92,25.5,98,0,4.85,0
DL,0,73.5,266,24.17808219,11,5.02,0,29.5,105,0,4.38,1
DL,0,73.5,266,21.41643836,29,0,4.99,31,109.5,7.31,4.43,1
DL,0,73.5,255,26.80821918,18,4.75,4.88,39.5,120,7.12,4.66,1
QB,0,73.5,230,22.06849315,11,0,4.85,27,105,7.12,4.37,0
WR,0,73.5,210,22.90136986,14,0,4.61,39.5,123.5,6.54,4.17,1
DB,0,73.5,205,23.99452055,12,0,4.79,30.5,109.5,6.73,4.3,0
K,0,73.5,191,21.29041096,6,5,5.12,28.5,104.5,7.5,4.53,1
DL,0,73.375,262,23.08767123,27,5.15,0,28.5,101.5,0,4.62,0
DL,0,73.375,253,25.56164384,26,4.96,5.3,32,112,0,4.74,1
LB,0,73.375,220,23.02191781,12,4.83,4.88,28,110.2,0,0,1
LB,0,73.375,219,23.98082192,23,4.94,0,33.5,117,0,4.19,1
DB,0,73.375,205,24.58082192,0,4.95,5.2,25,107,0,4.4,0
DL,0,73.25,288,22.98356164,22,0,5.16,31,99.5,7.22,4.23,1
RB,0,73.25,231,23.64931507,11,4.96,5.26,27,100.75,0,4.47,1
